donor_name,category
Wellcome Trust,Foundation
IKEA Foundation,Foundation
William and Flora Hewlett Foundation,Foundation
Jacobs Foundation,Foundation
German Postcode Lottery,Foundation
Open Society Foundations,Foundation
UBS Optimus Foundation,Foundation
Susan T. Buffett Foundation,Foundation
World Diabetes Foundation,Foundation
Gates Foundation,Foundation
Rockefeller Foundation,Foundation
Laudes Foundation,Foundation
H&M Foundation,Foundation
David and Lucile Packard Foundation,Foundation
LEGO Foundation,Foundation
Children's Investment Fund Foundation,Foundation
Conrad N. Hilton Foundation,Foundation
Ford Foundation,Foundation
Good Ventures Foundation,Foundation
Citi Foundation,Foundation
Bloomberg Family Foundation,Foundation
OPEC Fund for International Development [OPEC Fund],"Other - DFI, IFI, Bank"
Arcadia Fund,Foundation
Global Fund,"Other - DFI, IFI, Bank"
Green Climate Fund [GCF],"Other - DFI, IFI, Bank"
International Centre for Genetic Engineering and Biotechnology [ICGEB],UN agency
Private Infrastructure Development Group,"Other - DFI, IFI, Bank"
Global Alliance for Vaccines and Immunization [GAVI],"Other - IGO, NGO"
Global Environment Facility [GEF],"Other - DFI, IFI, Bank"
Adaptation Fund,"Other - DFI, IFI, Bank"
International Development Association [IDA],World Bank
Nordic Development Fund [NDF],"Other - DFI, IFI, Bank"
International Bank for Reconstruction and Development [IBRD],World Bank
World Health Organisation [WHO],"Other - IGO, NGO"
World Trade Organisation,"Other - IGO, NGO"
WTO - International Trade Centre [ITC],"Other - IGO, NGO"
WFP,UN agency
United Nations Industrial Development Organization [UNIDO],UN agency
WHO-Strategic Preparedness and Response Plan [SPRP],"Other - IGO, NGO"
UNICEF,UN agency
UNFPA,UN agency
UNHCR,UN agency
UNDP,UN agency
UNAIDS,UN agency
UN Women,UN agency
International Labour Organisation [ILO],UN agency
Joint Sustainable Development Goals Fund [Joint SDG Fund],UN agency
UN Development Coordination Office,UN agency
Food and Agriculture Organisation [FAO],UN agency
International Atomic Energy Agency [IAEA],UN agency
Central Emergency Response Fund [CERF],UN agency
IFAD,UN agency
Islamic Development Bank [IsDB],"Other - DFI, IFI, Bank"
COVID-19 Response and Recovery Multi-Partner Trust Fund [UN COVID-19 MPTF],UN agency
Asian Infrastructure Investment Bank [AIIB],"Other - DFI, IFI, Bank"
Asian Development Bank [AsDB],"Other - DFI, IFI, Bank"
EU Institutions,EU Institutions
IMF Concessional Trust Funds,"Other - DFI, IFI, Bank"
United Arab Emirates,Other - Country
Thailand,Other - Country
Kazakhstan,Other - Country
Saudi Arabia,Other - Country
Romania,Other - Country
Malta,Other - Country
Qatar,Other - Country
Croatia,Other - Country
Bulgaria,Other - Country
Kuwait,Other - Country
Azerbaijan,Other - Country
Liechtenstein,Other - Country
United States,G7
United Kingdom,G7
TÃ¼rkiye,Other - Country
Switzerland,Other - Country
Sweden,Other - Country
Spain,Other - Country
Slovak Republic,Other - Country
Slovenia,Other - Country
Portugal,Other - Country
Poland,Other - Country
Norway,Other - Country
New Zealand,Other - Country
Netherlands,Other - Country
Luxembourg,Other - Country
Lithuania,Other - Country
Korea,Other - Country
Latvia,Other - Country
Japan,G7
Italy,G7
Israel,Other - Country
Ireland,Other - Country
Iceland,Other - Country
Greece,Other - Country
Hungary,Other - Country
Germany,G7
France,G7
Finland,Other - Country
Denmark,Other - Country
Estonia,Other - Country
Czechia,Other - Country
Canada,G7
Belgium,Other - Country
Austria,Other - Country
Australia,Other - Country
